VendorID,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,congestion_surcharge,airport_fee,pickup_hour,pickup_dayofweek,pickup_month,is_weekend,trip_duration_min,avg_speed_mph
2,1.0,2.32,1.0,141.0,143.0,2.0,13.5,1.0,0.5,0.0,1.0,2.5,0.0,0,6,1,1,10.416666666666666,13.363199999999999
1,2.0,1.4,1.0,186.0,161.0,2.0,9.3,2.5,0.5,0.0,1.0,2.5,0.0,10,0,1,0,8.966666666666667,9.368029739776953
2,2.0,0.83,1.0,162.0,237.0,1.0,6.5,0.0,0.5,0.0,1.0,2.5,0.0,18,6,1,1,4.4,11.318181818181818
2,2.0,4.0,1.0,186.0,262.0,1.0,21.2,0.0,0.5,0.0,1.0,2.5,0.0,17,0,1,0,19.766666666666666,12.141652613827993
2,1.0,3.13,1.0,48.0,107.0,1.0,28.9,1.0,0.5,0.0,1.0,2.5,0.0,1,6,1,1,33.63333333333333,5.583746283448959
2,1.0,0.78,1.0,141.0,236.0,1.0,6.5,0.0,0.5,0.0,1.0,2.5,0.0,12,2,1,0,3.6,13.0
2,5.0,2.22,1.0,162.0,107.0,1.0,15.6,0.0,0.5,0.0,1.0,2.5,0.0,11,2,1,0,15.366666666666667,8.668112798264643
1,1.0,1.4,1.0,230.0,68.0,2.0,10.0,2.5,0.5,0.0,1.0,2.5,0.0,14,3,1,0,10.083333333333334,8.330578512396693
2,1.0,3.36,1.0,45.0,161.0,1.0,21.2,0.0,0.5,0.0,1.0,2.5,0.0,12,0,1,0,19.316666666666666,10.43658326143227
2,1.0,1.91,1.0,140.0,142.0,1.0,13.5,1.0,0.5,0.0,1.0,2.5,0.0,21,3,1,0,12.733333333333333,9.0
2,1.0,1.18,1.0,236.0,237.0,1.0,12.1,0.0,0.5,0.0,1.0,2.5,0.0,15,4,1,0,12.183333333333334,5.811217510259917
1,1.0,0.8,1.0,144.0,107.0,1.0,7.2,2.5,0.5,0.0,1.0,2.5,0.0,16,5,1,1,4.85,9.896907216494848
2,1.0,0.96,1.0,161.0,164.0,1.0,7.9,0.0,0.5,0.0,1.0,2.5,0.0,9,4,1,0,5.833333333333333,9.874285714285714
2,1.0,3.84,1.0,249.0,141.0,1.0,17.7,1.0,0.5,0.0,1.0,2.5,0.0,23,3,1,0,13.716666666666667,16.797083839611176
1,1.0,3.6,1.0,166.0,237.0,1.0,24.7,2.5,0.5,0.0,1.0,2.5,0.0,15,6,1,1,23.766666666666666,9.08835904628331
1,1.0,10.5,1.0,132.0,37.0,1.0,45.7,1.25,0.5,0.0,1.0,0.0,1.25,13,6,1,1,40.483333333333334,15.561959654178674
